name,videoUrl,imageUrl,instruction,componentIds,categories,prescriptions,patterns,bodyRegions,equipment,loadingSides,locations,liftPriorities,movementDirections,Column1,disabled
Accel & Jump - EC,https://iamaspire.aspire.qa/ExerciseVideo/Accel & Jump - EC.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_88aa1e1c-7e8e-4f85-9495-87e6de96e95e.png,"Sprint a few steps, then explode into a vertical jump.",speed:cod,strength:corrective:spine,ext-load-bil,squat,lower,bodyweight:pull-up-bar,,"pitch,gym",assistance,linear,,FALSE
Acceleration 5m,https://iamaspire.aspire.qa/ExerciseVideo/NoVideo.mp4,,,speed:cod,strength:corrective:spine,ext-load-bil,run,total,functional:box,,"pitch,gym,mobile",,,,FALSE
Acceleration Squat - FW[V12],https://iamaspire.aspire.qa/ExerciseVideo/Acceleration Squat - FW[V12].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_df6b262c-48de-4ea7-b996-c069048e078e.png,"Perform fast, deep squat and accelerate upward with force.",strength:power:running-based,strength:corrective:spine,ext-load-bil,squat,lower,,,gym,,linear,,FALSE
Acceleration Start Throw - MB,https://iamaspire.aspire.qa/ExerciseVideo/Acceleration Start Throw - MB.mp4,,Start in staggered stance holding a med ball. Explosively sprint and throw the ball forward.,strength:power:running-based,strength:corrective:spine,mb-drills-bil,run,"total,core",,,"pitch,gym",,,,FALSE
Adductors - FoamRoller,https://iamaspire.aspire.qa/ExerciseVideo/Adductors - FoamRoller.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_277944d5-8be7-4ea3-974a-e36de7e73a0a.png,Search trigger points|| push on it keeping the pressure constant. Scale of pain out of 10 never more than 8 release it until 3-4.,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,,,,,,,,FALSE
Alt. Rotational Toss to Wall - MB,https://iamaspire.aspire.qa/ExerciseVideo/Alt. Rotational Toss to Wall - MB.mp4,,"Start in squat stance, keeping a med ball. Rotate trunk and throw ball to wall, alternating sides.",rom:flexibility:passive-stretching,strength:corrective:spine,mb-drills-bil,press,core,,,"pitch,gym,mobile",,,,FALSE
Alternating Ball Push Up,https://iamaspire.aspire.qa/ExerciseVideo/Alternating Ball Push Up.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c51cf19a-cb9e-42c3-9680-7db784e2b002.png,Chest out and core strong. Squeeze glutes to avoid arching the lower back. Try to keep an imagination line from head to feet.,rom:flexibility:passive-stretching,strength:corrective:spine,mb-drills-bil,press,"upper,core",free-weight:medicine-ball,,"pitch,gym,mobile",,,,FALSE
Ankle Jumps,https://iamaspire.aspire.qa/ExerciseVideo/Ankle Jumps.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_cc48cb32-11f5-4a5c-8cfc-6d083e9534d8.png,"Stand tall with feet hip-width. Perform small, fast hops using only ankles—knees stay stiff.",strength:power:jumping,strength:corrective:spine,rsi-drills-bil,jump,lower,bodyweight:pull-up-bar,,"pitch,gym,mobile",,,,FALSE
Ankle Jumps over Hurdles [double contact],https://iamaspire.aspire.qa/ExerciseVideo/Ankle Jumps over Hurdles [double contact].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_2ee04fdd-0b80-49fa-a7f6-d0a3e4829a65.png,Trunk lean forward|| hip and knee semi-flexed. Chest out|| squeeze the core. Full extension of the knees in the air and quick contact with the floor.,strength:power:jumping,strength:corrective:spine,ext-load-bil,jump,lower,bodyweight:pull-up-bar,,"pitch,gym,mobile",,,,FALSE
Ankle Jumps to Acceleration,https://iamaspire.aspire.qa/ExerciseVideo/Ankle Jumps to Acceleration.mp4,,"Do quick ankle hops, then transition immediately into a forward sprint.",speed:acceleration:resisted,strength:corrective:spine,ext-load-bil,jump,lower,free-weight:external-load,,"pitch,gym,mobile",supplemental,linear,,FALSE
Anti-Rotation - Landmine,https://iamaspire.aspire.qa/ExerciseVideo/Anti-Rotation - Landmine.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_b9ab8041-6092-42ff-9b33-b06bf29a8740.png,Bend over and keep back straight. Chest out and keep shoulders back. Squeeze core to avoid rotation of the trunk during movement.,coordination:running-mechanics,strength:corrective:spine,ext-load-bil,torsion,core,strength:barbells:trapbar,,"pitch,gym,mobile",,,,FALSE
A-Pop w Plate OH,https://iamaspire.aspire.qa/ExerciseVideo/A-Pop w Plate OH.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_e5a66352-e809-4441-b445-bdd769fd8cef.png,Chest out and squeeze the core. Keep nice and tall position. Switch the legs in the air and punch the ground agressively.,coordination:running-mechanics,strength:corrective:spine,ext-load-uni,run,core,free-weight:medicine-ball,,"pitch,gym,mobile",,,,FALSE
A-Skip w Plate OH,https://iamaspire.aspire.qa/ExerciseVideo/A-Skip w Plate OH.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_7bc67400-4b71-46de-b77a-b8211bae6f48.png,Chest out and squeeze the core Keep nice and tall position. Switch the legs in the air and punch the ground agressively twice.,coordination:running-mechanics,strength:corrective:spine,ext-load-uni,run,core,free-weight:medicine-ball,,"pitch,gym,mobile",,,,FALSE
Back Pedal & Jump - EC,https://iamaspire.aspire.qa/ExerciseVideo/Back Pedal & Jump - EC.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_46fc4c0c-d2b6-4c2e-abe9-1f33df1da3ba.png,"Backpedal quickly, then jump vertically.",speed:cod:resisted,strength:corrective:spine,ext-load-bil,run,lower,bodyweight:pull-up-bar,,"pitch,gym",supplemental,linear,,FALSE
Back Roll,https://iamaspire.aspire.qa/ExerciseVideo/,,,coordination:running-mechanics,strength:corrective:spine,ext-load-bil,,total,,,,,,,FALSE
Back Squat w OHP - BB,https://iamaspire.aspire.qa/ExerciseVideo/Back Squat w OHP - BB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_8b5a23bc-e231-4d2c-bc2c-12568bbb6cdd.png,"Bar on back. Squat fully, stand, then press bar overhead in one fluid motion.",strength:general:con-ecc,strength:corrective:spine,ext-load-bil,squat,total,functional:box,,"pitch,gym,mobile",assistance,,,TRUE
Backward Lunge Walk - DB,https://iamaspire.aspire.qa/ExerciseVideo/Backward Lunge Walk - DB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c9747e01-ceab-495c-990d-d451aa1e5b85.png,Chest out and squeeze the core. Back leg toes remain on the floor all time. Squeeze the back leg glute for the whole movement. Be nice and tall.,strength:general:con-ecc,strength:corrective:spine,ext-load-uni,squat,lower,strength:dumbbells:regular,,"pitch,gym,mobile",,,,FALSE
Backwards Sled Drag,https://iamaspire.aspire.qa/ExerciseVideo/Backwards Sled Drag.mp4,,"Hold sled handles. Step backward forcefully, staying low and driving through heels.",strength:general:concentric,strength:corrective:spine,ext-load-bil,pull,lower,strength:barbells:olympic,,"pitch,gym",,,,FALSE
Ball Half Kneeling Knee Ext,https://iamaspire.aspire.qa/ExerciseVideo/Ball Half Kneeling Knee Ext.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_f29a3c0b-eeb3-4c1d-a057-9e4d88c7c97c.png,"Balancing on the ball. Extend front knee slowly, keeping torso upright and stable.",strength:corrective:balance,strength:corrective:spine,ext-load-uni,run,lower,bodyweight:pull-up-bar,,"pitch,gym,mobile",,,,FALSE
Ball Half Kneeling Knee Ext Reach,https://iamaspire.aspire.qa/ExerciseVideo/Ball Half Kneeling Knee Ext Reach.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_b1671f06-ea40-410b-a7ba-3b685ccbe0a0.png,Balancing on the ball. Leaning forward during knee extension for added core demand.,strength:corrective:balance,strength:corrective:spine,ext-load-uni,run,lower,free-weight:weightlifting-belt,,"pitch,gym,mobile",,,,FALSE
Ball Half Kneeling Knee Ext Taps,https://iamaspire.aspire.qa/ExerciseVideo/Ball Half Kneeling Knee Ext Taps.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_848b7d8a-f4eb-4455-b8fe-1e7115439199.png,"Balancing on the ball. Extend front leg, tapping heel to floor lightly with control.",strength:corrective:balance,strength:corrective:spine,ext-load-uni,squat,lower,bodyweight:pull-up-bar,,"pitch,gym,mobile",,,,FALSE
Ball Half Kneeling Knee Lift,https://iamaspire.aspire.qa/ExerciseVideo/Ball Half Kneeling Knee Lift.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_8db51471-977b-42ca-b33a-98610b9d3fe7.png,"Balancing on the ball. Lift front foot slightly off floor, engaging hips and core.",strength:corrective:balance,strength:corrective:spine,ext-load-uni,squat,lower,free-weight:external-load,,"pitch,gym,mobile",,,,FALSE
Ball Half Kneeling Knee Lift w Torsion,https://iamaspire.aspire.qa/ExerciseVideo/Ball Half Kneeling Knee Lift w Torsion.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_5b97333b-c7dc-46c4-939c-d49a04cb0047.png,Balancing on the ball. Lift knee and rotate trunk with ball for anti-rotation focus.,strength:corrective:balance,strength:corrective:spine,ext-load-uni,torsion,lower,free-weight:medicine-ball,,"pitch,gym,mobile",,,,FALSE
Ball Half Kneeling Side Taps,https://iamaspire.aspire.qa/ExerciseVideo/Ball Half Kneeling Side Taps.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c1510ad1-036d-4b62-8b65-cfff4b69d3a7.png,"Balancing on the ball. Tap front foot side-to-side, keeping control and balance.",strength:corrective:balance,strength:corrective:spine,ext-load-uni,squat,lower,free-weight:weightlifting-belt,,"pitch,gym,mobile",,,,FALSE
Band Row w Partner - PB,https://iamaspire.aspire.qa/ExerciseVideo/Band Row w Partner - PB.mp4,,"Hold band with partner providing resistance. Row elbows back, squeezing shoulder blades.",strength:corrective:spine,strength:corrective:spine,ext-load-bil,pull,upper,free-weight:power-band,,"pitch,gym",,,,TRUE
Barbell Complex - BB,https://iamaspire.aspire.qa/ExerciseVideo/Barbell Complex - BB.mp4,,"Start with barbell. Perform a series (deadlift, clean, deep front squat, push press, row) without dropping the bar.",strength:general:con-ecc,strength:corrective:spine,ext-load-bil,,total,strength:kettlebells,,gym,,,,FALSE
Barbell Twist - BB,https://iamaspire.aspire.qa/ExerciseVideo/Barbell Twist - BB.mp4,,"Hold barbell on the back. Rotate torso side to side, feet planted, core tight.",strength:general:con-ecc,strength:corrective:spine,ext-load-bil,torsion,core,,,"gym,mobile",,,,FALSE
Bear Crawl [forward],https://iamaspire.aspire.qa/ExerciseVideo/Bear Crawl [forward].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_70ea200e-56e4-47e7-b36a-549292c00c52.png,Start on all fours and slightly lift your knees from the ground so they're at a 90-degree angle. Move one hand and the opposite foot forward while staying low to the ground. Switch sides|| moving the opposite hand and foot.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,core,,,"pitch,gym,mobile",corrective,,,FALSE
Bear Position Knee Extension,https://iamaspire.aspire.qa/ExerciseVideo/Bear Position Knee Extension.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_0dfd0a66-2166-43fe-9b67-100ec636e7c3.png,Bear position. Extend one knee slowly while keeping back flat and hips stable.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,core,strength:barbells:olympic,,"gym,pitch,mobile",,,,FALSE
Bear Position Knee Extension Jump,https://iamaspire.aspire.qa/ExerciseVideo/Bear Position Knee Extension Jump.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_058f1dee-fcb9-499c-b06f-2583d0b9e877.png,"Start in bear position. Extend knees, then jump explosively from that position.",strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,lower,strength:barbells:trapbar,,"gym,pitch,mobile",assistance,linear,,FALSE
Bear Position SL Knee Extension w Kickback,https://iamaspire.aspire.qa/ExerciseVideo/Bear Position SL Knee Extension w Kickback.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_edeffdea-629e-407d-a30c-dc6d6bd2c26d.png,"Bear stance, one leg lifted. Extend support leg, kick back lifted leg.",strength:corrective:spine,strength:corrective:spine,ext-load-uni,crawl,core,strength:barbells:trapbar,,"gym,pitch,mobile",,,,FALSE
Bear Position to Extended Plank,https://iamaspire.aspire.qa/ExerciseVideo/Bear Position to Extended Plank.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_700d4dc1-2601-4310-87e1-18aaecfeee1d.png,"Begin in bear. Walk hands forward to extended plank, keeping hips controlled.",strength:corrective:spine,strength:corrective:spine,ext-load-bil,crawl,core,bodyweight:pull-up-bar,,"pitch,gym,mobile",,,,FALSE
Behind the Neck OHP - BB,https://iamaspire.aspire.qa/ExerciseVideo/Behind the Neck OHP - BB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_d9df7886-990f-4239-a892-12f8d6d64fd6.png,"Barbell rests on the back. Press bar straight overhead, keeping chest tall and elbows under bar.",strength:general:con-ecc,strength:corrective:spine,ext-load-bil,press,upper,strength:kettlebells,,"gym,mobile",,,,FALSE
Bench Press - BB,https://iamaspire.aspire.qa/ExerciseVideo/Bench Press - BB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_752573dc-0d54-4243-801d-c76b4e9fdadb.png,Keep the shoulder 45 degree when you lower the bar. Chest out and keep shoulder down and back. Legs push the ground.,strength:general:con-ecc,strength:corrective:spine,ext-load-bil,press,upper,strength:barbells:olympic,,"gym,mobile",,,,FALSE
Bench Press - DB,https://iamaspire.aspire.qa/ExerciseVideo/Bench Press - DB.mp4,,"Lie on bench holding dumbbells. Lower to chest, press up while stabilizing each arm.",strength:general:con-ecc,strength:corrective:spine,ext-load-bil,press,upper,bodyweight:pull-up-bar,,"gym,mobile",,,,FALSE
Bench Press [Top-Down Alt.] - DB,https://iamaspire.aspire.qa/ExerciseVideo/Bench Press [Top-Down Alt.] - DB.mp4,,Hold both dumbbells up. Alternate lowering one arm at a time to chest.,strength:general:con-ecc,strength:corrective:spine,ext-load-uni,press,upper,strength:smith,,"gym,mobile",,,,FALSE
Bent Over KB Lateral Swings - KB,https://iamaspire.aspire.qa/ExerciseVideo/Bent Over KB Lateral Swings - KB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_5d6fbbeb-4a6d-4f46-9c17-a2f0e8adbfb7.png,"Hinge at hips, KB between legs. Swing side-to-side in controlled arc.",strength:corrective:spine,strength:corrective:spine,ext-load-bil,dl-hinge,"lower,core",functional:box,,"pitch,gym,mobile",,,,FALSE
Bent Over Row - BB,https://iamaspire.aspire.qa/ExerciseVideo/Bent Over Row - BB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_2bb19959-7e36-4409-b2fd-dfd7f7f854b7.png,Chest out and keep back straight during movement. Drive elbows back. Put the bar down slowly.,strength:general:con-ecc,strength:corrective:spine,ext-load-bil,pull,upper,strength:barbells:olympic,,"gym,mobile",,,,FALSE
Bent Over Row - DB,https://iamaspire.aspire.qa/ExerciseVideo/Bent Over Row - DB.mp4,,Unlock your hips|| sending them backwards to hinge your torso forwards|| soften your knees a bit|| and row the dumbbell up|| while maintaining chest up and back straight,strength:general:con-ecc,strength:corrective:spine,ext-load-bil,pull,upper,functional:box,,"pitch,gym,mobile",,,,FALSE
Bent Over Rows - Partner,https://iamaspire.aspire.qa/ExerciseVideo/Bent Over Rows - Partner.mp4,,"Partner 1 in tall plank position, partner 2 holding the legs of partner 1 and rowing both arms simultaneously.",strength:general:con-ecc,strength:corrective:spine,ext-load-bil,pull,"upper,core",,,"pitch,gym",,,,FALSE
Biceps Curl - DB,https://iamaspire.aspire.qa/ExerciseVideo/Biceps Curl - DB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_f6c384d8-7ffd-4cca-a46f-1d2a8d337451.png,Begin standing tall with your feet about hip-width apart. Keep your upper arms stable and shoulders relaxed|| bend at the elbow and lift the weights so that the dumbbells approach your shoulders.,strength:general:con-ecc,strength:corrective:spine,ext-load-uni,pull,upper,,,"pitch,gym,mobile",,,,FALSE
Big Rope Challenge,,,,strength:general:concentric,strength:corrective:spine,ext-load-bil,,,free-weight:medicine-ball,,,,,,FALSE
Bike,https://iamaspire.aspire.qa/ExerciseVideo/Bike.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_21a0e107-937e-4574-8201-bb0453ef82bc.png,Keep a constant rythem. Breath in through your nose. Breath out through your mouth.,endurance:aerobic-capacity,strength:corrective:spine,ext-load-bil,,lower,,,"gym,mobile",,,,FALSE
Bird-Dog,https://iamaspire.aspire.qa/ExerciseVideo/Bird-Dog.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_b4708557-fd43-417e-8c68-a687046d2c08.png,Push the floor with the hands to activate upper back. Squeezing the core muscle. Move slowly to avoid any movement of the trunk.,strength:corrective:spine,strength:corrective:spine,ext-load-bil,torsion,,bodyweight:pull-up-bar,,"pitch,gym,mobile",corrective,,,FALSE
Bow & Arrow,https://iamaspire.aspire.qa/ExerciseVideo/,,,competition,strength:corrective:spine,ext-load-bil,,total,,,,,,,TRUE
Bowling - KB,https://iamaspire.aspire.qa/ExerciseVideo/Bowling - KB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_47c2df88-f66a-41f5-8deb-7678cc678bd3.png,Stand with KB in one hand. Perform a controlled forward lunge and underhand KB roll.,coordination:balance,strength:corrective:spine,ext-load-uni,squat,"total,core",functional:keiser,,"pitch,gym,mobile",,,,FALSE
Boxing,,,,endurance:aerobic-capacity,strength:corrective:spine,ext-load-bil,,,,,,,,,FALSE
Bretzel Stretch,https://iamaspire.aspire.qa/ExerciseVideo/Bretzel Stretch.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_47dc3c79-1cf8-4871-a89a-48e5ca94a0f2.png,Squeeze the glute of the back leg. Push the floor with the knee. Breath out during thoracic rotation. Hold at maximum point of tension for 5 seconds.,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-uni,,total,,,"pitch,gym,mobile",,,,FALSE
Broad Jump,https://iamaspire.aspire.qa/ExerciseVideo/Broad Jump.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_eb6a32ea-bed3-46c9-834b-15cb62fd71a3.png,Chest out and squeeze the core. Align hip|| knee and feet. Focus to push the ground as powerful as you can. Soft landing and push the knee out.,strength:power:jumping,strength:power:jumping,ext-load-bil,squat,lower,bodyweight:pull-up-bar,,"gym,pitch,mobile",supplemental,linear,,FALSE
Broad Jump - OJ,https://iamaspire.aspire.qa/ExerciseVideo/Broad Jump - OJ.mp4,,Trunk lean forward|| hip and knee semi-flexed. Chest out and squeeze the core while moving. Focus on the full extension of the knees in the air.,strength:power:jumping,strength:power:jumping,ext-load-bil,jump,lower,free-weight:medicine-ball,bipedal,"gym,pitch,mobile",,linear,,FALSE
Broad Jump [Continuous],https://iamaspire.aspire.qa/ExerciseVideo/Broad Jump [Continuous].mp4,,Trunk lean forward|| hip and knee semi-flexed. Chest out and squeeze the core while moving. Focus on the full extension of the knees in the air.,strength:power:jumping,strength:power:jumping,ext-load-bil,jump,lower,strength:dumbbells:regular,bipedal,"gym,pitch,mobile",,linear,,FALSE
Broad Jump [SL landing],https://iamaspire.aspire.qa/ExerciseVideo/Broad Jump [SL landing].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_b8a52283-77aa-417e-9167-e937c04d7c48.png,Trunk lean forward|| hip and knee semi-flexed. Chest out and squeeze the core while moving. Focus on the full extension of the knees in the air.,strength:power:jumping,strength:power:jumping,ext-load-bil,jump,lower,bodyweight:pull-up-bar,bipedal,"pitch,gym,mobile",,,,FALSE
Bulgarian Split Squat - DB,https://iamaspire.aspire.qa/ExerciseVideo/Bulgarian Split Squat - DB.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c4ea1bb6-fe18-43fd-af2d-873276051cdb.png,"Trunk lean forward, hip and knee semi-flexed. Chest out and squeeze the core while moving ,look forward.",strength:general:con-ecc,strength:corrective:spine,ext-load-uni,squat,lower,,bipedal,"pitch,gym,mobile",supplemental,,,FALSE
Burpees,https://iamaspire.aspire.qa/ExerciseVideo/Burpees.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_b5231a33-48bf-47b2-9729-e86caedc04f7.png,Start with one push up. Then jump forward with both legs to a standing position and directly jump up.,strength:power:jumping,strength:corrective:spine,ext-load-bil,primitive,total,bodyweight:pull-up-bar,bilateral,"pitch,gym,mobile",,,,FALSE
Calf Raise - BW,https://iamaspire.aspire.qa/ExerciseVideo/Calf Raise - BW.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_77b09983-e99a-4577-8bea-0e64a8059b5a.png,Chest out and squeeze the core. Push with the big toe the floor to raise the heel. Keep the ankle-foot in a neutral position.,strength:general:con-ecc,strength:corrective:spine,ext-load-bil,push,lower,bodyweight:pull-up-bar,bilateral,gym,,,,FALSE
Calf Raise - SM,https://iamaspire.aspire.qa/ExerciseVideo/Calf Raise - SM.mp4,,squeeze the core. Push with the big toe the floor to raise the heel. Keep the ankle-foot in a neutral position.,strength:general:con-ecc,strength:corrective:spine,ext-load-bil,run,lower,,bilateral,gym,,,,FALSE
Calf Raise [KneeExt] - TG,https://iamaspire.aspire.qa/ExerciseVideo/Calf Raise [KneeExt] - TG.mp4,,squeeze the core. Push with the big toe the floor to raise the heel. Keep the ankle-foot in a neutral position.,strength:general:con-ecc,strength:corrective:spine,ext-load-bil,squat,lower,strength:barbells:olympic,bilateral,gym,assistance,,,FALSE
Calf Raises - KS,https://iamaspire.aspire.qa/ExerciseVideo/Calf Raises - KS.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_d9e01c52-2ef3-49de-b73a-3782ed5822d6.png,squeeze the core. Push with the big toe the floor to raise the heel. Keep the ankle-foot in a neutral position.,strength:general:con-ecc,strength:corrective:spine,ext-load-bil,push,lower,,bilateral,gym,,,,FALSE
Candle Reach,https://iamaspire.aspire.qa/ExerciseVideo/Candle Reach.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_09e22381-df14-4c2c-b2c6-9c9a61122f1d.png,squeeze the core ..push with the toes to the air.,strength:general:con-ecc,strength:corrective:spine,ext-load-bil,torsion,core,strength:barbells:olympic,bilateral,"pitch,gym,mobile",,,,FALSE
Carioca Lunge - BW,https://iamaspire.aspire.qa/ExerciseVideo/Carioca Lunge - BW.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_f8edd2f9-a048-49af-952a-5026c0f8fbb1.png,"Trunk lean forward, hip and knee semi-flexed. Chest out and squeeze the core while moving ,look forward.",strength:general:con-ecc,strength:corrective:spine,ext-load-bil,squat,lower,strength:dumbbells:regular,monopedal,"pitch,gym,mobile",,,,FALSE
Carioca Lunge Balance - FW[V12],https://iamaspire.aspire.qa/ExerciseVideo/Carioca Lunge Balance - FW[V12].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_637580b6-fdeb-4954-b4d7-12b8a6862771.png,"Trunk lean forward, hip and knee semi-flexed. Chest out and squeeze the core while moving ,look forward.",strength:general:con-ecc,strength:corrective:spine,ext-load-uni,squat,lower,strength:dumbbells:regular,monopedal,"pitch,gym,mobile",,,,FALSE
Carioca Lunge Step Down - FW[V12],https://iamaspire.aspire.qa/ExerciseVideo/Carioca Lunge Step Down - FW[V12].mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_64b78cc2-b4ba-4e1b-8ee3-a9b1f7da9d2d.png,"Trunk lean forward, hip and knee semi-flexed. Chest out and squeeze the core while moving ,look forward.",strength:general:con-ecc,strength:corrective:spine,ext-load-uni,squat,lower,free-weight:external-load,monopedal,"pitch,gym,mobile",,,,FALSE
Carioca Squat - BW,https://iamaspire.aspire.qa/ExerciseVideo/Carioca Squat - BW.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_5b73364b-0650-466e-9754-f5d3ef565a99.png,"Trunk lean forward, hip and knee semi-flexed. Chest out and squeeze the core while moving ,look forward.",strength:general:con-ecc,strength:corrective:spine,ext-load-uni,squat,lower,strength:barbells:olympic,monopedal,"gym,pitch,mobile",assistance,,,FALSE
